record;classification;subClassification;length;width;thickness;diameter;weight;quantity;broadperiod;fromdate;todate;location;date;weather
401707;;;38.73;33.93;;;12.62;1;NEOLITHIC;-2500;-2000;Mole Valley,Surrey;5603;77
401705;;;49.09;;;;4.13;1;NEOLITHIC;-2500;-2000;Mole Valley,Surrey;5603;51.8
400770;Leaf-shaped;;31.9;19.8;4;;1.93;1;NEOLITHIC;-3500;-2100;North Lincolnshire,Lincolnshire;10663;46.4
400620;Chisel;;42.46;31.53;4.13;;4.06;1;NEOLITHIC;-2500;-2100;Mendip,Somerset;10695;51.8
400592;;;74.74;19.45;19.44;;13.64;1;MEDIEVAL;1100;1300;West Lindsey,Lincolnshire;11059;48.2
399265;;;26.22;18.93;3.04;;1.89;1;NEOLITHIC;-2500;-2100;Mendip,Somerset;10695;75.2
398607;;;52.05;13.8;7.95;;6.76;1;MEDIEVAL;;;Vale of White Horse,Oxfordshire;9599;62.6
396999;;;24.76;21.88;;;1.8;1;BRONZE AGE;-2500;-1500;Stratford-on-Avon,Warwickshire;7521;62.6
396818;;;121;25;7.5;;45.43;1;MEDIEVAL;1100;1500;South Lakeland,Cumbria;7070;73.4
396200;;;22.15;17.74;3.87;;1.62;1;NEOLITHIC;-3500;-2100;St. Edmundsbury,Suffolk;11781;77
395678;;;34.9;16.6;5.5;;2.23;1;BRONZE AGE;-2500;-1150;The City of Brighton and Hove,Brighton and Hove;11692;46.4
395502;;;17.31;12.67;2.55;;0.6;1;MESOLITHIC;-8300;-2500;County of Herefordshire,Herefordshire;5491;50
395086;;;33.56;20.11;6.54;;3.17;1;NEOLITHIC;-2500;-2000;Guildford,Surrey;13980;50
393825;;;35.79;25.51;7.58;;6.1;1;NEOLITHIC;-3500;-2100;Northumberland,Northumberland;12396;73.4
393802;;;29.11;22.32;3.92;;2.2;1;NEOLITHIC;-3500;-2500;Northumberland,Northumberland;12396;51.8
391989;;;52.57;24.31;10.26;;12;1;NEOLITHIC;-3500;-2100;East Lindsey,Lincolnshire;14463;57.2
390995;;;65.5;;;;10.9;1;MEDIEVAL;1400;1600;Darlington,Darlington;8837;71.6
389979;Leaf-shaped;;36.3;18.6;4.8;;3.4;1;NEOLITHIC;-3500;-2500;Isle of Wight,Isle of Wight;7100;62.6
389638;;;26.23;17.71;6.3;;3.05;1;NEOLITHIC;-3500;-1500;Medway,Medway;13371;57.2
